sample_name	BSF_name	flowcell	lane	cell_type	instrument_model	read_length	read_type	library	organism	data_source
N1180_10	EA001_002_N1180_10_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1317_12	EA001_006_N1317_12_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1020_10	EA001_008_N1020_10_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1916_12	EA001_010_N1916_12_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1279_07	EA001_015_N1279_07_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N392_09	EA001_017_N392_09_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1_08	N1_08	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1252_15A	N1252_15A	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1221_15	N1221_15	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1219_15	N1219_15	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N669_06I	N669_06I	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N669_06II	N669_06II	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N861_08AII	N861_08AII	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N861_08AIII	N861_08AIII	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1677_06	N1677_06	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N380_09B	N380_09B	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1025_10	N1025_10	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1197_15	N1197_15	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N709_15	N709_15	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1436_06	N1436_06	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1199_15B	N1199_15B	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1218_15	N1218_15	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N820_07CI	N820_07CI	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N820_07CIII	N820_07CIII	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1734_10	N1734_10	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1420_08	N1420_08	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1198_15	N1198_15	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1250_15	N1250_15	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1200_15	N1200_15	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1201_15	N1201_15	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N986_07CI	N986_07CI	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N986_07CII	N986_07CII	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N861_08AI	N861_08AI	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N912_12F	N912_12F	BSF_0198_H5HG2BBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1168_05A	N1168_05A	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1202_15	N1202_15	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2367_15II	N2367_15II	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1222_15	N1222_15	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1109_10	N1109_10	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N986_07CIII	N986_07CIII	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N708_15	N708_15	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1231_15	N1231_15	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N820_07CII	N820_07CII	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2367_15I	N2367_15I	BSF_0198_H5HG2BBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1230_15	N1230_15	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N669_06III	N669_06III	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2367_15III	N2367_15III	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2368_15I	N2368_15I	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1471_11A	N1471_11A	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N61_15D	N61_15D	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N321_15C	N321_15C	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1783_14	N1783_14	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1203_15	N1203_15	BSF_0198_H5HG2BBXX	7	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2449_14	N2449_14_S11879	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2448_14	N2448_14_S11878	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N820_07C	N820_07C_S11877	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1059_07A	N1059_07A_S11876	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N918_15	N918_15_S11875	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N536_07	N536_07_S11874	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N886_12	N886_12_S11873	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N893_08	N893_08_S11872	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2465_14A	N2465_14A_S11871	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1237_15	N1237_15_S11870	BSF_0202_H5HGCBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2451_14	N2451_14_S11889	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2450_14	N2450_14_S11888	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2447_14A	N2447_14A_S11887	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N417_14	N417_14_S11886	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N174_14v	N174_14v_S11885	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N853_13A	N853_13A_S11884	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1132_12B	N1132_12B_S11883	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N465_05C	N465_05C_S11882	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N139_03C	N139_03C_S11881	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1220_15	N1220_15_S11880	BSF_0202_H5HGCBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2446_14	N2446_14_S11899	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1510_11	N1510_11_S11898	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N441_06	N441_06_S11897	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1165_14A	N1165_14A_S11896	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1154_13	N1154_13_S11895	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1814_09A	N1814_09A_S11894	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1844_13B	N1844_13B_S11893	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1234_15	N1234_15_S11892	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1232_15	N1232_15_S11891	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2463_14	N2463_14_S11890	BSF_0202_H5HGCBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N490_13B	N490_13B_S11909	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N623_04	N623_04_S11908	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N225_09	N225_09_S11907	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N969_08	N969_08_S11906	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1161_06	N1161_06_S11905	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1735_09	N1735_09_S11904	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1233_15	N1233_15_S11903	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1223_15	N1223_15_S11902	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1248_04	N1248_04_S11901	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2462_14	N2462_14_S11900	BSF_0202_H5HGCBBXX	6	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2491_14	N2491_14_S12132	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1593_12	N1593_12_S12133	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N719_07	N719_07_S12134	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1518_07A	N1518_07A_S12135	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N531_07	N531_07_S12136	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1404_13	N1404_13_S12138	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N861_08A	N861_08A_S12139	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N721_13B	N721_13B_S12140	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2452_14	N2452_14_S12141	BSF_0209_H7CLLBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1239_15	N1239_15_S11850	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2464_14A	N2464_14A_S11851	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N203_13A	N203_13A_S11852	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1322_08A	N1322_08A_S11853	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N225_06	N225_06_S11854	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N204_11	N204_11_S11855	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N806_12	N806_12_S11856	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N658_15D	N658_15D_S11857	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N668_06	N668_06_S11858	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2453_14	N2453_14_S11859	BSF_0209_H7CLLBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1238_15	N1238_15_S11860	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N960_03	N960_03_S11861	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1224_15B	N1224_15B_S11862	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2489_14	N2489_14_S11863	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2490_14	N2490_14_S11864	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N845_13	N845_13_S11865	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2441_14C	N2441_14C_S11866	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1576_12	N1576_12_S11867	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N158_07	N158_07_S11868	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N986_07A	N986_07A_S11869	BSF_0210_H7CNWBBXX	2	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1106_05	N1106_05_S12518	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2461_14	N2461_14_S12519	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2481_14	N2481_14_S12520	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N386_06	N386_06_S12521	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1279_14A	N1279_14A_S12522	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2454_14	N2454_14_S12523	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2455_14A	N2455_14A_S12524	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2478_14	N2478_14_S12525	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1181_15	N1181_15_S12526	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1188_15	N1188_15_S12527	BSF_0210_H7CNWBBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1225_15A	N1225_15A_S12528	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N259_08	N259_08_S12529	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N554_03B	N554_03B_S12530	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1649_12	N1649_12_S12531	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2456_14	N2456_14_S12532	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2457_14	N2457_14_S12533	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2477_14	N2477_14_S12534	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1182_15	N1182_15_S12535	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1186_15	N1186_15_S12536	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1190_15	N1190_15_S12537	BSF_0210_H7CNWBBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N127_05A	N127_05A_S12538	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N369_08	N369_08_S12539	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1388_04	N1388_04_S12540	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2460_14	N2460_14_S12541	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2482_14A	N2482_14A_S12542	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2487_14A	N2487_14A_S12543	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N2488_14	N2488_14_S12544	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1180_15	N1180_15_S12545	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1187_15	N1187_15_S12546	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1189_15A	N1189_15A_S12547	BSF_0210_H7CNWBBXX	5	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1210_15_B	N1210_15_B_S13002	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2386_15	N2386_15_S13003	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N910_14_B	N910_14_B_S13004	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2041_14_D	N2041_14_D_S13005	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2298_13_D	N2298_13_D_S13006	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N762_14_B	N762_14_B_S13007	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1096_14_B	N1096_14_B_S13008	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1834_15	N1834_15_S13009	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2310_13_D	N2310_13_D_S13010	BSF_0212_H7FHFBBXX	2	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1196_15	N1196_15_S13011	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1206_15	N1206_15_S13012	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1209_15	N1209_15_S13013	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1227_15	N1227_15_S13014	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1245_15	N1245_15_S13015	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N679_15	N679_15_S13016	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1496_13_C	N1496_13_C_S13017	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N359_14_B	N359_14_B_S13018	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N681_15	N681_15_S13019	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N684_15	N684_15_S13020	BSF_0212_H7FHFBBXX	3	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1205_15	N1205_15_S13021	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1208_15_B	N1208_15_B_S13022	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1235_15_A	N1235_15_A_S13023	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1242_15_A	N1242_15_A_S13024	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2363_15_C	N2363_15_C_S13025	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2371_15_B	N2371_15_B_S13026	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2374_15	N2374_15_S13027	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2189_15	N2189_15_S13028	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N677_15	N677_15_S13029	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N678_15	N678_15_S13030	BSF_0212_H7FHFBBXX	4	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1192_15	N1192_15_S13031	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1246_15	N1246_15_S13032	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2362_15	N2362_15_S13033	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2368_15	N2368_15_S13034	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2372_15	N2372_15_S13035	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2375_15	N2375_15_S13036	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2378_15	N2378_15_S13037	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2381_15	N2381_15_S13038	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N2403_15	N2403_15_S13039	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N605_13	N605_13_S13040	BSF_0212_H7FHFBBXX	5	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1191_15	N1191_15_S13041	BSF_0212_H7FHFBBXX	6	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
M1211_15	M1211_15_S13042	BSF_0212_H7FHFBBXX	6	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1212_15	N1212_15_S13043	BSF_0212_H7FHFBBXX	6	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1243_15	N1243_15_S13044	BSF_0212_H7FHFBBXX	6	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
N1247_15	N1247_15_S13045	BSF_0212_H7FHFBBXX	6	NA	HiSeq_4000	50	single	RRBS	human	bsf_samples
